target_name	query_name 	full_seq_e_value	full_seq_hmm_score	full_seq_bias	best_1_domain_e_value	best_1_domain_hmm_score	best_1_domain_bias	cyclase_type	phyla	nucl_cyclase_target_name	used_in_synthetic_metagenome	notes
Thermoactinomyces vulgaris__ADL26_14015__hypothetical protein	t2cyclaseSRPBCC	5.10E-34	111.7	0.6	5.70E-34	111.6	0.6	TcmN	Firmicutes	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase/dehydrase	Y	
Streptomyces chartreusis NRRL 12338__ctg4_12__NA 	t2cyclaseSRPBCC	8.90E-75	340.4	4.3	3.00E-38	122	0.2	TcmN	Actinobacteria	JH164840__S.chartreusis__Aromatase	N	not included in genbank
NC_021985.1__ctg1_orf06492__Polyketide_synthesis_cyclase	t2cyclase_polyket	5.00E-47	152	0.1	5.50E-47	151.9	0.1	TcmI	Actinobacteria	NC_021985.1__S.collinus_Tu365__ctg1_orf06492__Polyketide_synthesis_cyclase	Y	cluster_16
JJOH01000028.1__ctg28_orf00051__Polyketide_synthesis_cyclase	t2cyclase_polyket	1.30E-44	144.2	0	1.60E-44	143.9	0	TcmI	Actinobacteria	JJOH01000028.1__S.olindensis_strain_DAUFPE_5622__ctg28_orf00051__Polyketide_synthesis_cyclase	Y	cluster_28
JJOH01000095.1__ctg84_orf00031__Polyketide_synthesis_cyclase	t2cyclase_polyket	9.10E-43	138.3	0	1.10E-42	138	0	TcmI	Actinobacteria	JJOH01000095.1__S.olindensis_strain_DAUFPE_5622__ctg84_orf00031__Polyketide_synthesis_cyclase	N	cluster_31; duplicate domain and not in BLAST data 
AZXI01000013.1__ctg13_orf00152__Polyketide_synthesis_cyclase	t2cyclase_polyket	3.40E-38	123.6	0	4.00E-38	123.4	0	TcmI	Actinobacteria	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00152__Polyketide_synthesis_cyclase	Y	cluster_11
AZXI01000013.1__ctg13_orf00156__Polyketide_synthesis_cyclase	t2cyclase_polyket	2.60E-33	107.9	0	3.10E-33	107.6	0	TcmI	Actinobacteria	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00156__Polyketide_synthesis_cyclase	Y	cluster_11
AZXI01000013.1__ctg13_orf00144__AraC_family_transcriptional_regulator	t2cyclaseABD	9.90E-46	148.2	0.7	1.10E-45	148	0.7	TcmJ	Actinobacteria	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator	Y	cluster_11
NC_021985.1__ctg1_orf06500__	t2cyclaseABD	7.40E-43	138.9	1.9	9.40E-43	138.6	1.9	TcmJ	Actinobacteria	NC_021985.1__S.collinus_Tu365__ctg1_orf06500__TcmJ	Y	cluster_16
JJOH01000095.1__ctg84_orf00025__AraC_family_transcriptional_regulator	t2cyclaseABD	1.30E-41	134.9	0.5	1.40E-41	134.7	0.5	TcmJ	Actinobacteria	JJOH01000095.1__S.olindensis_strain_DAUFPE_5622__ctg84_orf00025__AraC_family_transcriptional_regulator	Y	cluster_31
JJOH01000028.1__ctg28_orf00059__AraC_family_transcriptional_regulator	t2cyclaseABD	1.30E-41	134.9	0.5	1.40E-41	134.7	0.5	TcmJ	Actinobacteria	JJOH01000028.1__S.olindensis_strain_DAUFPE_5622__ctg28_orf00059__AraC_family_transcriptional_regulator	N	cluster_28; duplicate domain and not in BLAST data
JJOH01000095.1__ctg84_orf00030__cyclase/dehydrase	t2cyclaseSRPBCC	7.40E-56	181.5	2.5	8.50E-56	181.3	2.5	TcmN	Actinobacteria	JJOH01000095.1__S.olindensis_strain_DAUFPE_5622__ctg84_orf00030__cyclase/dehydrase	N	cluster_31; duplicate domain and not in BLAST data 
JJOH01000028.1__ctg28_orf00053__cyclase/dehydrase	t2cyclaseSRPBCC	7.40E-56	181.5	2.5	8.50E-56	181.3	2.5	TcmN	Actinobacteria	JJOH01000028.1__S.olindensis_strain_DAUFPE_5622__ctg28_orf00053__cyclase/dehydrase	Y	cluster_28
NC_021985.1__ctg1_orf06493__cyclase/dehydrase	t2cyclaseSRPBCC	1.70E-55	180.3	3.3	1.90E-55	180.1	3.3	TcmN	Actinobacteria	NC_021985.1__S.collinus_Tu365__ctg1_orf06493__cyclase/dehydrase	Y	cluster_16
AZXI01000013.1__ctg13_orf00146__acyl_carrier_protein	t2cyclaseSRPBCC	4.40E-48	156.3	2.2	6.10E-48	155.8	2.2	TcmN	Actinobacteria	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00146__acyl_carrier_protein	Y	cluster_11
