sseqid	slen	sstart	send	qseqid	qlen	qstart	qend	pident	evalue	Sample	cutoff
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	498	399	CP001834.1-21469150/2	100	1	100	93	1.95e-38	synthetic_stool_low_S14	plus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	87	1	CP001834.1-21469150/2	100	1	87	96.552	7.01e-38	synthetic_stool_low_S14	plus_five_score
GCA_000742975.1_ASM74297v1__CP008815.1_Enterococcus_faecalis_ATCC_29212_plasmid_1,_complete_sequence__17931__lantipeptide__ANTISMASH__48617_66548-lanC	2982	1897	1886	CP001834.1-21469150/2	100	15	26	100	0.34	synthetic_stool_low_S14	plus_five_score
GCA_000742975.1_ASM74297v1__CP008815.1_Enterococcus_faecalis_ATCC_29212_plasmid_1,_complete_sequence__17931__lantipeptide__ANTISMASH__48617_66548-lanC	2982	2570	2560	CP001834.1-21469150/2	100	57	67	100	1.2	synthetic_stool_low_S14	plus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-lanC	2787	2138	2127	CP001834.1-21469150/2	100	14	25	100	0.34	synthetic_stool_low_S14	plus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	2484	2497	CP001834.1-21469150/2	100	14	27	92.857	1.2	synthetic_stool_low_S14	plus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	94	1	CP001834.1-18701440/2	100	1	94	97.872	1.93e-43	synthetic_stool_low_S14	plus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	505	406	CP001834.1-18701440/2	100	1	100	94	4.19e-40	synthetic_stool_low_S14	plus_five_score
GCA_000742975.1_ASM74297v1__CP008815.1_Enterococcus_faecalis_ATCC_29212_plasmid_1,_complete_sequence__17931__lantipeptide__ANTISMASH__48617_66548-lanC	2982	1897	1886	CP001834.1-18701440/2	100	22	33	100	0.34	synthetic_stool_low_S14	plus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-lanC	2787	2138	2127	CP001834.1-18701440/2	100	21	32	100	0.34	synthetic_stool_low_S14	plus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	2484	2497	CP001834.1-18701440/2	100	21	34	92.857	1.2	synthetic_stool_low_S14	plus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	389	479	CP001834.1-7597430/2	100	10	100	94.505	9.06e-37	synthetic_stool_low_S13	plus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	1	68	CP001834.1-7597430/2	100	33	100	97.059	5.49e-29	synthetic_stool_low_S13	plus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1282	1293	CP001834.1-7597430/2	100	68	79	100	0.34	synthetic_stool_low_S13	plus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-Lan_C_2	2514	1465	1475	CP001834.1-7597430/2	100	90	100	100	1.2	synthetic_stool_low_S13	plus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	1	91	CP001834.1-1475086/2	100	10	100	97.802	9e-42	synthetic_stool_high_S21	plus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	403	502	CP001834.1-1475086/2	100	1	100	94	4.19e-40	synthetic_stool_high_S21	plus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	2275	2286	CP001834.1-1475086/2	100	42	53	100	0.34	synthetic_stool_high_S21	plus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	941	951	CP001834.1-1475086/2	100	89	99	100	1.2	synthetic_stool_high_S21	plus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	2497	2484	CP001834.1-1475086/2	100	70	83	92.857	1.2	synthetic_stool_high_S21	plus_five_score
GCA_000742975.1_ASM74297v1__CP008815.1_Enterococcus_faecalis_ATCC_29212_plasmid_1,_complete_sequence__17931__lantipeptide__ANTISMASH__48617_66548-lanC	2982	1886	1897	CP001834.1-1475086/2	100	71	82	100	0.34	synthetic_stool_high_S21	plus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-lanC	2787	2127	2138	CP001834.1-1475086/2	100	72	83	100	0.34	synthetic_stool_high_S21	plus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	480	389	CP001834.1-3477336/2	100	1	92	94.565	2.52e-37	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	69	1	CP001834.1-3477336/2	100	1	69	98.551	3.28e-31	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	464	365	CP001834.1-3199254/1	100	1	100	95	9e-42	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	875	776	CP001834.1-3199254/1	100	1	100	90	1.96e-33	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	397	496	CP001834.1-3035852/2	100	1	100	94	4.19e-40	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	1	85	CP001834.1-3035852/2	100	16	100	98.824	4.19e-40	synthetic_stool_low_S8	minus_five_score
GCA_000742975.1_ASM74297v1__CP008815.1_Enterococcus_faecalis_ATCC_29212_plasmid_1,_complete_sequence__17931__lantipeptide__ANTISMASH__48617_66548-lanC	2982	1886	1897	CP001834.1-3035852/2	100	77	88	100	0.34	synthetic_stool_low_S8	minus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-lanC	2787	2127	2138	CP001834.1-3035852/2	100	78	89	100	0.34	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1283	1293	CP001834.1-3035852/2	100	52	62	100	1.2	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	2497	2484	CP001834.1-3035852/2	100	76	89	92.857	1.2	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	1	96	CP001834.1-3024348/1	100	2	97	98.958	3.21e-46	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	411	507	CP001834.1-3024348/1	100	1	97	94.845	4.19e-40	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	372	359	CP001834.1-3024348/1	100	83	96	92.857	1.2	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1282	1293	CP001834.1-3024348/1	100	37	48	100	0.34	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	2497	2484	CP001834.1-3024348/1	100	62	75	92.857	1.2	synthetic_stool_low_S8	minus_five_score
GCA_000742975.1_ASM74297v1__CP008815.1_Enterococcus_faecalis_ATCC_29212_plasmid_1,_complete_sequence__17931__lantipeptide__ANTISMASH__48617_66548-lanC	2982	1886	1897	CP001834.1-3024348/1	100	63	74	100	0.34	synthetic_stool_low_S8	minus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-lanC	2787	2127	2138	CP001834.1-3024348/1	100	64	75	100	0.34	synthetic_stool_low_S8	minus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-lanC	2787	2420	2410	CP001834.1-3024348/1	100	86	96	100	1.2	synthetic_stool_low_S8	minus_five_score
GCA_000014485.1_ASM1448v1__CP000419.1_Streptococcus_thermophilus_LMD-9,_complete_genome__22160__lantipeptide__ANTISMASH__1771366_1793526-lanC	2160	756	745	CP001834.1-3024348/1	100	82	93	100	0.34	synthetic_stool_low_S8	minus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-Lan_C_2	2514	443	433	CP001834.1-3024348/1	100	83	93	100	1.2	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	1	98	CP001834.1-2846564/2	100	3	100	97.959	1.16e-45	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	410	509	CP001834.1-2846564/2	100	1	100	94	4.19e-40	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1282	1293	CP001834.1-2846564/2	100	38	49	100	0.34	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	2204	2214	CP001834.1-2846564/2	100	66	76	100	1.2	synthetic_stool_low_S8	minus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-lanC	2787	2420	2410	CP001834.1-2846564/2	100	87	97	100	1.2	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	479	389	CP001834.1-2673392/1	100	1	91	94.505	9.06e-37	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	68	1	CP001834.1-2673392/1	100	1	68	98.529	1.18e-30	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-2673392/1	100	22	33	100	0.34	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098137419|emb|FOXX01000002.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00002.2,_whole_genome_shotgun_sequence__13138__lantipeptide__ANTISMASH__0_13138-lanC	2901	663	653	CP001834.1-2673392/1	100	6	16	100	1.2	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	1	94	CP001834.1-2556108/2	100	7	100	94.681	1.95e-38	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	406	505	CP001834.1-2556108/2	100	1	100	91	4.22e-35	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	484	389	CP001834.1-2491888/2	100	1	96	94.792	1.51e-39	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	73	1	CP001834.1-2491888/2	100	1	73	97.26	9.13e-32	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-2491888/2	100	27	38	100	0.34	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	2487	2497	CP001834.1-2491888/2	100	3	13	100	1.2	synthetic_stool_low_S8	minus_five_score
GCA_000742975.1_ASM74297v1__CP008815.1_Enterococcus_faecalis_ATCC_29212_plasmid_1,_complete_sequence__17931__lantipeptide__ANTISMASH__48617_66548-lanC	2982	1897	1886	CP001834.1-2491888/2	100	1	12	100	0.34	synthetic_stool_low_S8	minus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-lanC	2787	2137	2127	CP001834.1-2491888/2	100	1	11	100	1.2	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	1	95	CP001834.1-2491544/2	100	6	100	97.895	5.38e-44	synthetic_stool_low_S8	minus_five_score
