readID	Sample	sampleType	cyclase_type	window	interval	HMMScore	qseqid
gi|928414697|gb|LGKI01000478.1|-6/2	synthetic_stool_low_S20	low	OxyN	30_10	80_110	66.5	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|1081600317|emb|FMWJ01000012.1|-2544/1	synthetic_stool_low_S45	low	OxyN	30_10	200_230	66.5	NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase
gi|928414697|gb|LGKI01000478.1|-2284/1	synthetic_stool_high_S63	high	OxyN	30_10	80_110	66.4	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-21684/1	synthetic_stool_low_S18	low	OxyN	30_10	80_110	66.4	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-10700/2	synthetic_stool_low_S23	low	OxyN	30_10	80_110	66.4	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|529222834|ref|NC_021985.1|-66748/1	synthetic_stool_high_S40	high	OxyN	30_10	200_230	66.4	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|928414697|gb|LGKI01000478.1|-7376/1	synthetic_stool_high_S57	high	OxyN	30_10	80_110	66.3	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-20050/2	synthetic_stool_high_S6	high	OxyN	30_10	80_110	66.3	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-2856/1	synthetic_stool_high_S8	high	OxyN	30_10	80_110	66.3	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-2650/2	synthetic_stool_low_S2	low	OxyN	30_10	80_110	66.3	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-2894/2	synthetic_stool_low_S63	low	OxyN	30_10	80_110	66.3	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|1081600317|emb|FMWJ01000012.1|-2010/2	synthetic_stool_high_S35	high	OxyN	30_10	200_230	66.3	NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase
gi|529222834|ref|NC_021985.1|-781476/2	synthetic_stool_low_S36	low	OxyN	30_10	200_230	66.2	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-8476/2	synthetic_stool_low_S49	low	OxyN	30_10	200_230	66.2	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|928414697|gb|LGKI01000478.1|-3542/2	synthetic_stool_high_S57	high	OxyN	30_10	210_240	66.2	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-15264/1	synthetic_stool_high_S63	high	OxyN	30_10	210_240	66.2	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-3378/1	synthetic_stool_low_S13	low	OxyN	30_10	210_240	66.2	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-2632/1	synthetic_stool_low_S17	low	OxyN	30_10	210_240	66.2	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-22930/1	synthetic_stool_low_S18	low	OxyN	30_10	210_240	66.2	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-2466/2	synthetic_stool_low_S23	low	OxyN	30_10	210_240	66.2	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|529222834|ref|NC_021985.1|-44934/1	synthetic_stool_high_S59	high	OxyN	30_10	180_210	66.1	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-365810/2	synthetic_stool_high_S8	high	OxyN	30_10	180_210	66.1	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-279950/1	synthetic_stool_high_S18	high	OxyN	30_10	210_240	66.1	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|928414697|gb|LGKI01000478.1|-8022/2	synthetic_stool_high_S57	high	OxyN	30_10	210_240	66.1	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-10584/2	synthetic_stool_low_S16	low	OxyN	30_10	210_240	66.1	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-10802/1	synthetic_stool_low_S39	low	OxyN	30_10	210_240	66.1	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|529222834|ref|NC_021985.1|-257726/1	synthetic_stool_low_S36	low	OxyN	30_10	180_210	66	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-69026/1	synthetic_stool_high_S18	high	OxyN	30_10	190_220	66	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-824404/2	synthetic_stool_high_S18	high	OxyN	30_10	190_220	66	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-372726/2	synthetic_stool_high_S59	high	OxyN	30_10	190_220	66	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-408784/2	synthetic_stool_high_S8	high	OxyN	30_10	190_220	66	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-48184/2	synthetic_stool_low_S20	low	OxyN	30_10	190_220	66	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-130484/2	synthetic_stool_low_S36	low	OxyN	30_10	190_220	66	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-136434/2	synthetic_stool_low_S36	low	OxyN	30_10	190_220	66	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-212510/1	synthetic_stool_low_S36	low	OxyN	30_10	190_220	66	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-145478/2	synthetic_stool_low_S54	low	OxyN	30_10	190_220	66	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-681216/1	synthetic_stool_high_S18	high	OxyN	30_10	180_210	65.9	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-674530/2	synthetic_stool_low_S21	low	OxyN	30_10	180_210	65.9	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-32578/2	synthetic_stool_high_S40	high	OxyN	30_10	190_220	65.8	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-549120/2	synthetic_stool_low_S36	low	OxyN	30_10	210_240	65.8	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|928414697|gb|LGKI01000478.1|-11756/1	synthetic_stool_low_S69	low	OxyN	30_10	80_110	65.6	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|529222834|ref|NC_021985.1|-185800/1	synthetic_stool_high_S59	high	OxyN	30_10	200_230	65.4	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-147426/2	synthetic_stool_low_S36	low	OxyN	30_10	200_230	65.4	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|928414697|gb|LGKI01000478.1|-15098/2	synthetic_stool_low_S18	low	OxyN	30_10	210_240	65.4	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-7414/2	synthetic_stool_high_S8	high	OxyN	30_10	220_250	65.4	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
OBDZ01000030.1-452/1	synthetic_stool_high_S40	high	OxyN	30_10	220_250	65.3	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
gi|529222834|ref|NC_021985.1|-428926/2	synthetic_stool_low_S36	low	OxyN	30_10	200_230	65.2	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|640937269|gb|JJOH01000002.1|-29718/1	synthetic_stool_high_S56	high	OxyN	30_10	60_90	65.1	JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase
gi|529222834|ref|NC_021985.1|-157068/2	synthetic_stool_high_S45	high	OxyN	30_10	210_240	65.1	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-212848/1	synthetic_stool_high_S8	high	OxyN	30_10	210_240	65	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-313852/2	synthetic_stool_low_S26	low	OxyN	30_10	220_250	65	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|928414697|gb|LGKI01000478.1|-1486/1	synthetic_stool_high_S4	high	OxyN	30_10	210_240	64.9	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-8282/1	synthetic_stool_high_S8	high	OxyN	30_10	210_240	64.9	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|529222834|ref|NC_021985.1|-165996/2	synthetic_stool_high_S40	high	OxyN	30_10	200_230	64.8	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|928414697|gb|LGKI01000478.1|-22036/1	synthetic_stool_high_S13	high	OxyN	30_10	210_240	64.8	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-1562/1	synthetic_stool_high_S8	high	OxyN	30_10	90_120	64.7	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-21858/2	synthetic_stool_high_S8	high	OxyN	30_10	90_120	64.7	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-4748/2	synthetic_stool_low_S16	low	OxyN	30_10	90_120	64.7	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-870/2	synthetic_stool_low_S2	low	OxyN	30_10	90_120	64.7	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-17076/2	synthetic_stool_low_S39	low	OxyN	30_10	90_120	64.7	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-11648/1	synthetic_stool_low_S69	low	OxyN	30_10	90_120	64.7	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|529222834|ref|NC_021985.1|-588794/1	synthetic_stool_high_S15	high	OxyN	30_10	190_220	64.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-73424/1	synthetic_stool_high_S50	high	OxyN	30_10	190_220	64.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-611686/2	synthetic_stool_low_S21	low	OxyN	30_10	200_230	64.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|640937269|gb|JJOH01000002.1|-13420/2	synthetic_stool_high_S31	high	OxyN	30_10	210_240	64.7	JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase
gi|640937269|gb|JJOH01000002.1|-4576/2	synthetic_stool_high_S31	high	OxyN	30_10	210_240	64.7	JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase
gi|640937269|gb|JJOH01000002.1|-2044/1	synthetic_stool_high_S39	high	OxyN	30_10	210_240	64.7	JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase
gi|640937269|gb|JJOH01000002.1|-27804/1	synthetic_stool_high_S49	high	OxyN	30_10	210_240	64.7	JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase
gi|640937269|gb|JJOH01000002.1|-17124/1	synthetic_stool_low_S43	low	OxyN	30_10	210_240	64.7	JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase
gi|928414697|gb|LGKI01000478.1|-13876/2	synthetic_stool_high_S13	high	OxyN	30_10	80_110	64.6	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-10618/2	synthetic_stool_low_S2	low	OxyN	30_10	90_120	64.6	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
OBDZ01000030.1-3752/2	synthetic_stool_high_S21	high	OxyN	30_10	210_240	64.6	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
gi|640937269|gb|JJOH01000002.1|-2260/1	synthetic_stool_high_S64	high	OxyN	30_10	210_240	64.6	JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase
gi|640937269|gb|JJOH01000002.1|-1140/1	synthetic_stool_low_S0	low	OxyN	30_10	210_240	64.6	JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase
gi|928414697|gb|LGKI01000478.1|-16572/1	synthetic_stool_low_S2	low	OxyN	30_10	210_240	64.6	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
