Sample	readID	stitle	readCheck
synthetic_stool_low_S10	AM412317.1-8676796/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S10	AM412317.1-7629984/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S10	AM412317.1-3782456/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S10	AM412317.1-2678616/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S10	AM412317.1-1385898/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-23959036/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-23353278/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-20104630/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-18685098/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-18440018/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-17933742/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-17366820/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-14982424/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-11475622/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-11315430/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-10906190/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-10676850/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-9755218/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-8366212/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-7901174/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-6808860/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-6678200/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-5231394/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-2623600/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	CP006908.1-2525914/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	AM412317.1-6908112/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	AM412317.1-6217608/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	AM412317.1-4966498/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	AM412317.1-4366918/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	AM412317.1-1244616/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	AM412317.1-404916/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S63	AM412317.1-84886/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S29	CP002011.1-77906/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S45	CP000939.1-3197178/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S45	CP000939.1-2828736/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S45	CP000939.1-2505344/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S45	CP000939.1-2165480/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S45	CP000939.1-1249476/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S45	CP006908.1-2197526/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S66	CP014148.1-14384/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S66	CP002011.1-1342/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S68	AM412317.1-415658/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S57	CP006908.1-20580094/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S57	CP006908.1-18545532/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S57	CP006908.1-17745114/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S57	CP006908.1-17218258/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S57	CP006908.1-17175450/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S57	CP006908.1-16562082/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S57	CP006908.1-16316460/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S57	CP006908.1-12622204/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S57	CP006908.1-12554770/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S57	CP006908.1-10537804/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S57	CP006908.1-6430666/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S57	CP006908.1-6179692/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S57	CP006908.1-5189122/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S57	CP006908.1-4727944/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S57	CP006908.1-3861540/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S57	CP006908.1-2767330/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S48	CP000728.1-20510/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S58	CP002011.1-102034/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S3	CP002011.1-205768/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-45052626/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-44969480/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-43601194/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-42354384/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-42269026/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-40985292/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-39497100/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-38361284/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-38093436/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-32373976/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-31757854/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-31512474/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-30756126/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-29347848/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-29069020/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-27968698/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-27610408/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-26234978/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-25128744/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-22663244/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-21792718/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-21753374/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-20412966/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-18037114/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-17084564/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-16109070/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-15977954/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-14878032/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-14725600/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-14280432/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-13651174/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-13236750/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-12786924/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-10479476/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-9538122/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-7035172/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-6357410/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-5750414/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP000939.1-5263064/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S49	CP002011.1-81360/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S35	CP014148.1-248036/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S39	AM412317.1-275182/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S2	CP006908.1-220252/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S2	CP000728.1-3132634/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S2	CP000728.1-2794728/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S2	CP000728.1-2319896/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S57	CP000939.1-643952/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S57	CP000939.1-573328/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S57	CP002011.1-162490/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S57	CP002011.1-118646/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S57	CP006908.1-963044/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S38	CP002011.1-806936/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S38	CP000728.1-7509530/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S38	CP000728.1-7395504/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S38	CP000728.1-6435120/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S38	CP000728.1-6366158/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S38	CP000728.1-5470872/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S38	CP000728.1-3999250/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S38	CP000728.1-3323924/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S38	CP000728.1-1997932/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S38	CP000728.1-1655202/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S38	CP000728.1-939428/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S44	CP000939.1-4408974/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S44	CP000939.1-4194626/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S44	CP000939.1-3536444/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S44	CP000939.1-3477450/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S44	CP000939.1-2949816/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S44	CP000939.1-2620692/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S44	CP000939.1-1640246/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S44	CP000939.1-1334968/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP002011.1-4602688/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP002011.1-4399306/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP002011.1-4000932/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP002011.1-2356340/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP002011.1-2021380/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP002011.1-1851398/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP002011.1-1832138/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000939.1-11003088/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000939.1-6498624/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000939.1-6105066/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000939.1-5471604/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000939.1-4382106/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000939.1-2791034/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000939.1-2054834/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-22129276/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-22014408/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-19906522/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-17423946/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-17179958/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-16796832/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-16352222/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-15901606/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-15853452/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-15507928/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-14033646/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-13441078/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-13194924/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-12980006/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-12639380/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-12228756/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-11998792/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-11860084/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-11019976/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-9263894/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-8984380/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-6273106/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-4112686/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-4045190/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-3306178/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-2988566/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-1530942/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-1252422/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-1075424/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S54	CP000728.1-575870/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S4	CP006908.1-28112/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S53	CP002011.1-2759896/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S53	CP002011.1-1496928/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S53	CP014148.1-5796216/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S53	CP014148.1-2708396/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S53	CP014148.1-1980198/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S51	CP002011.1-563136/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S44	AM412317.1-1004846/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S44	CP014148.1-976398/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S44	CP014148.1-256836/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S33	CP014148.1-2098422/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S33	CP014148.1-1636274/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S59	CP014148.1-467240/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S59	CP000939.1-778276/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S61	CP000939.1-9551044/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S61	CP000939.1-7439398/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S61	CP000939.1-7427596/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S61	CP000939.1-7081286/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S61	CP000939.1-4816012/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
