sseqid	slen	sstart	send	qseqid	qlen	qstart	qend	pident	evalue	Sample	cutoff
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-lanC	2787	2137	2127	CP001834.1-2491888/2	100	1	11	100	1.2	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	466	389	CP001834.1-2130376/2	100	1	78	94.872	3.28e-31	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	55	1	CP001834.1-2130376/2	100	1	55	100	4.28e-25	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-2130376/2	100	9	20	100	0.34	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	475	389	CP001834.1-1074318/2	100	1	87	96.552	7.01e-38	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	64	1	CP001834.1-1074318/2	100	1	64	100	4.25e-30	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-1074318/2	100	18	29	100	0.34	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	472	389	CP001834.1-1028514/2	100	1	84	95.238	1.52e-34	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	61	1	CP001834.1-1028514/2	100	1	61	98.361	9.19e-27	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-1028514/2	100	15	26	100	0.34	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	476	389	CP001834.1-828310/2	100	1	88	96.591	1.95e-38	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	65	1	CP001834.1-828310/2	100	1	65	100	1.18e-30	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-828310/2	100	19	30	100	0.34	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	476	389	CP001834.1-720332/2	100	1	88	96.591	1.95e-38	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	65	1	CP001834.1-720332/2	100	1	65	100	1.18e-30	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-720332/2	100	19	30	100	0.34	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	469	389	CP001834.1-315718/1	100	1	81	96.296	1.52e-34	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	58	1	CP001834.1-315718/1	100	1	58	100	9.19e-27	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-315718/1	100	12	23	100	0.34	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	472	390	CP001834.1-268616/1	100	1	83	95.181	5.46e-34	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	61	1	CP001834.1-268616/1	100	1	61	98.361	9.19e-27	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-268616/1	100	15	26	100	0.34	synthetic_stool_low_S8	minus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-Lan_C_2	2514	1848	1858	CP001834.1-268616/1	100	88	98	100	1.2	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	469	389	CP001834.1-1093332/2	100	1	81	96.296	1.52e-34	synthetic_stool_low_S7	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	58	1	CP001834.1-1093332/2	100	1	58	100	9.19e-27	synthetic_stool_low_S7	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-1093332/2	100	12	23	100	0.34	synthetic_stool_low_S7	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	498	399	CP001834.1-963390/2	100	1	100	94	4.19e-40	synthetic_stool_low_S7	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	87	1	CP001834.1-963390/2	100	1	87	97.701	1.51e-39	synthetic_stool_low_S7	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	467	388	CP001834.1-933118/2	100	1	80	95	2.54e-32	synthetic_stool_low_S7	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	56	1	CP001834.1-933118/2	100	1	56	100	1.19e-25	synthetic_stool_low_S7	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-933118/2	100	10	21	100	0.34	synthetic_stool_low_S7	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	466	389	CP001834.1-489030/2	100	1	78	96.154	7.06e-33	synthetic_stool_low_S7	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	55	1	CP001834.1-489030/2	100	1	55	100	4.28e-25	synthetic_stool_low_S7	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-489030/2	100	9	20	100	0.34	synthetic_stool_low_S7	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	468	389	CP001834.1-124294/1	100	1	80	96.25	5.46e-34	synthetic_stool_low_S7	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	57	1	CP001834.1-124294/1	100	1	57	100	3.31e-26	synthetic_stool_low_S7	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-124294/1	100	11	22	100	0.34	synthetic_stool_low_S7	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	485	389	CP001834.1-7977062/2	100	4	100	93.814	1.95e-38	synthetic_stool_low_S69	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	77	1	CP001834.1-7977062/2	100	1	77	96.104	2.54e-32	synthetic_stool_low_S69	minus_five_score
GCA_000742975.1_ASM74297v1__CP008815.1_Enterococcus_faecalis_ATCC_29212_plasmid_1,_complete_sequence__17931__lantipeptide__ANTISMASH__48617_66548-lanC	2982	1897	1886	CP001834.1-7977062/2	100	5	16	100	0.34	synthetic_stool_low_S69	minus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-lanC	2787	2138	2127	CP001834.1-7977062/2	100	4	15	100	0.34	synthetic_stool_low_S69	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	2484	2497	CP001834.1-7977062/2	100	4	17	92.857	1.2	synthetic_stool_low_S69	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	476	389	CP001834.1-7755520/2	100	1	88	95.455	9.06e-37	synthetic_stool_low_S69	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	65	1	CP001834.1-7755520/2	100	1	65	100	1.18e-30	synthetic_stool_low_S69	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-7755520/2	100	19	30	100	0.34	synthetic_stool_low_S69	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	629	530	CP001834.1-7653478/2	100	1	100	94	4.19e-40	synthetic_stool_low_S69	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	1040	941	CP001834.1-7653478/2	100	1	100	92.079	9.06e-37	synthetic_stool_low_S69	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	22	12	CP001834.1-7653478/2	100	2	12	100	1.2	synthetic_stool_low_S69	minus_five_score
GCA_000742975.1_ASM74297v1__CP008815.1_Enterococcus_faecalis_ATCC_29212_plasmid_1,_complete_sequence__17931__lantipeptide__ANTISMASH__48617_66548-lanC	2982	159	148	CP001834.1-7653478/2	100	4	15	100	0.34	synthetic_stool_low_S69	minus_five_score
GCA_000742975.1_ASM74297v1__CP008815.1_Enterococcus_faecalis_ATCC_29212_plasmid_1,_complete_sequence__17931__lantipeptide__ANTISMASH__48617_66548-lanC	2982	2262	2273	CP001834.1-7653478/2	100	18	29	100	0.34	synthetic_stool_low_S69	minus_five_score
GCA_000014485.1_ASM1448v1__CP000419.1_Streptococcus_thermophilus_LMD-9,_complete_genome__22160__lantipeptide__ANTISMASH__1771366_1793526-lanC	2160	2030	2047	CP001834.1-7653478/2	100	38	56	89.474	0.34	synthetic_stool_low_S69	minus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-Lan_C_2	2514	2039	2049	CP001834.1-7653478/2	100	1	11	100	1.2	synthetic_stool_low_S69	minus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-lanC	2787	1375	1365	CP001834.1-7653478/2	100	52	62	100	1.2	synthetic_stool_low_S69	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	470	389	CP001834.1-6935012/1	100	1	82	95.122	1.96e-33	synthetic_stool_low_S69	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	377	367	CP001834.1-6935012/1	100	46	56	100	1.2	synthetic_stool_low_S69	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	59	1	CP001834.1-6935012/1	100	1	59	98.305	1.19e-25	synthetic_stool_low_S69	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-6935012/1	100	13	24	100	0.34	synthetic_stool_low_S69	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	468	388	CP001834.1-5976826/1	100	1	81	96.296	1.52e-34	synthetic_stool_low_S69	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	57	1	CP001834.1-5976826/1	100	1	57	100	3.31e-26	synthetic_stool_low_S69	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-5976826/1	100	11	22	100	0.34	synthetic_stool_low_S69	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	467	389	CP001834.1-5858766/2	100	1	79	94.937	9.13e-32	synthetic_stool_low_S69	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	56	1	CP001834.1-5858766/2	100	1	56	100	1.19e-25	synthetic_stool_low_S69	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-5858766/2	100	10	21	100	0.34	synthetic_stool_low_S69	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	483	389	CP001834.1-4786472/2	100	1	95	94.737	5.42e-39	synthetic_stool_low_S69	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	72	1	CP001834.1-4786472/2	100	1	72	98.611	7.06e-33	synthetic_stool_low_S69	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	2487	2497	CP001834.1-4786472/2	100	2	12	100	1.2	synthetic_stool_low_S69	minus_five_score
GCA_000742975.1_ASM74297v1__CP008815.1_Enterococcus_faecalis_ATCC_29212_plasmid_1,_complete_sequence__17931__lantipeptide__ANTISMASH__48617_66548-lanC	2982	1896	1886	CP001834.1-4786472/2	100	1	11	100	1.2	synthetic_stool_low_S69	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	479	389	CP001834.1-4454642/2	100	1	91	93.407	4.22e-35	synthetic_stool_low_S69	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	68	1	CP001834.1-4454642/2	100	1	68	97.059	5.49e-29	synthetic_stool_low_S69	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	463	389	CP001834.1-4216790/2	100	1	75	94.667	1.53e-29	synthetic_stool_low_S69	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	52	1	CP001834.1-4216790/2	100	1	52	100	1.99e-23	synthetic_stool_low_S69	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-4216790/2	100	6	17	100	0.34	synthetic_stool_low_S69	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	475	389	CP001834.1-3787458/1	100	1	87	95.402	3.26e-36	synthetic_stool_low_S69	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	64	1	CP001834.1-3787458/1	100	1	64	98.438	1.98e-28	synthetic_stool_low_S69	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-3787458/1	100	18	29	100	0.34	synthetic_stool_low_S69	minus_five_score
