gene_name	start	end	interval	cyclase_type
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	567	654	200_230	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	597	684	210_240	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	627	714	220_250	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	657	741	230_260	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	687	771	240_270	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	717	786	250_280	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	9	96	0_30	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	39	126	10_40	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	69	156	20_50	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	99	186	30_60	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	129	216	40_70	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	159	246	50_80	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	189	276	60_90	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	219	300	70_100	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	249	330	80_110	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	279	360	90_120	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	303	390	100_130	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	333	420	110_140	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	363	450	120_150	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	393	480	130_160	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	423	510	140_170	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	453	540	150_180	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	483	570	160_190	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	513	600	170_200	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	543	630	180_210	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	573	660	190_220	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	606	693	200_230	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	633	720	210_240	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	663	750	220_250	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	693	777	230_260	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	723	807	240_270	OxyN
FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	753	822	250_280	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	12	99	0_30	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	42	129	10_40	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	72	159	20_50	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	102	189	30_60	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	132	219	40_70	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	162	249	50_80	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	192	279	60_90	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	222	303	70_100	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	252	333	80_110	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	282	363	90_120	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	306	393	100_130	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	336	423	110_140	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	366	453	120_150	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	396	483	130_160	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	426	513	140_170	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	456	543	150_180	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	486	573	160_190	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	516	603	170_200	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	546	633	180_210	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	576	663	190_220	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	606	693	200_230	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	636	723	210_240	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	666	750	220_250	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	696	777	230_260	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	726	807	240_270	OxyN
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	753	819	250_280	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	6	93	0_30	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	36	123	10_40	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	66	135	20_50	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	96	135	30_60	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	126	162	40_70	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	138	192	50_80	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	138	222	60_90	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	165	252	70_100	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	195	276	80_110	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	225	306	90_120	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	255	333	100_130	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	279	363	110_140	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	309	393	120_150	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	336	423	130_160	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	366	453	140_170	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	396	483	150_180	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	426	513	160_190	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	456	543	170_200	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	486	573	180_210	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	516	603	190_220	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	546	633	200_230	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	576	663	210_240	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	606	690	220_250	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	636	717	230_260	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	666	747	240_270	OxyN
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	693	768	250_280	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	6	93	0_30	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	36	123	10_40	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	66	153	20_50	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	96	183	30_60	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	126	213	40_70	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	156	243	50_80	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	186	273	60_90	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	216	297	70_100	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	246	327	80_110	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	276	357	90_120	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	300	387	100_130	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	330	417	110_140	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	360	447	120_150	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	390	477	130_160	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	420	507	140_170	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	450	537	150_180	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	480	567	160_190	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	510	597	170_200	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	540	627	180_210	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	570	657	190_220	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	600	687	200_230	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	630	717	210_240	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	660	744	220_250	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	690	771	230_260	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	720	801	240_270	OxyN
OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	747	810	250_280	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	9	96	0_30	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	39	126	10_40	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	69	156	20_50	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	99	186	30_60	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	129	213	40_70	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	159	243	50_80	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	189	273	60_90	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	216	297	70_100	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	246	327	80_110	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	276	357	90_120	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	300	384	100_130	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	330	411	110_140	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	360	441	120_150	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	387	471	130_160	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	414	501	140_170	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	444	531	150_180	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	474	561	160_190	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	504	591	170_200	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	534	621	180_210	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	564	651	190_220	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	594	681	200_230	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	624	711	210_240	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	654	741	220_250	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	684	768	230_260	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	714	798	240_270	OxyN
NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	744	813	250_280	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	6	93	0_30	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	36	123	10_40	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	66	129	20_50	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	96	132	30_60	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	126	162	40_70	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	132	192	50_80	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	135	222	60_90	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	165	252	70_100	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	195	282	80_110	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	225	312	90_120	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	258	339	100_130	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	285	369	110_140	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	315	399	120_150	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	342	429	130_160	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	372	459	140_170	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	402	489	150_180	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	432	519	160_190	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	462	549	170_200	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	492	579	180_210	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	522	609	190_220	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	552	639	200_230	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	582	669	210_240	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	612	699	220_250	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	642	726	230_260	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	672	756	240_270	OxyN
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	702	765	250_280	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	12	99	0_30	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	42	123	10_40	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	72	123	20_50	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	102	123	30_60	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	126	150	40_70	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	126	180	50_80	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	126	210	60_90	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	153	234	70_100	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	183	264	80_110	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	213	294	90_120	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	237	324	100_130	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	267	354	110_140	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	297	384	120_150	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	327	414	130_160	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	357	444	140_170	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	387	474	150_180	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	417	504	160_190	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	447	534	170_200	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	477	564	180_210	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	507	594	190_220	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	537	624	200_230	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	567	654	210_240	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	597	684	220_250	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	627	711	230_260	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	657	741	240_270	OxyN
NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	687	759	250_280	OxyN
AZXI01000002.1__Salinispora_arenicola_CNB527_Arenimycin_B__ctg1_25	9	93	0_30	TcmJ
AZXI01000002.1__Salinispora_arenicola_CNB527_Arenimycin_B__ctg1_25	36	120	10_40	TcmJ
AZXI01000002.1__Salinispora_arenicola_CNB527_Arenimycin_B__ctg1_25	66	150	20_50	TcmJ
AZXI01000002.1__Salinispora_arenicola_CNB527_Arenimycin_B__ctg1_25	96	180	30_60	TcmJ
AZXI01000002.1__Salinispora_arenicola_CNB527_Arenimycin_B__ctg1_25	123	210	40_70	TcmJ
AZXI01000002.1__Salinispora_arenicola_CNB527_Arenimycin_B__ctg1_25	153	237	50_80	TcmJ
AZXI01000002.1__Salinispora_arenicola_CNB527_Arenimycin_B__ctg1_25	186	267	60_90	TcmJ
AZXI01000002.1__Salinispora_arenicola_CNB527_Arenimycin_B__ctg1_25	216	300	70_100	TcmJ
AZXI01000002.1__Salinispora_arenicola_CNB527_Arenimycin_B__ctg1_25	240	327	80_110	TcmJ
AZXI01000002.1__Salinispora_arenicola_CNB527_Arenimycin_B__ctg1_25	270	357	90_120	TcmJ
AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator	15	102	0_30	TcmJ
AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator	45	129	10_40	TcmJ
AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator	75	159	20_50	TcmJ
AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator	105	189	30_60	TcmJ
AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator	132	219	40_70	TcmJ
AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator	162	246	50_80	TcmJ
AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator	195	276	60_90	TcmJ
AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator	225	306	70_100	TcmJ
AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator	249	336	80_110	TcmJ
AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator	279	366	90_120	TcmJ
FOXX01000014__Bacillus_endophyticus_DSM_13796__SAMN02745910_04234	3	87	0_30	TcmJ
FOXX01000014__Bacillus_endophyticus_DSM_13796__SAMN02745910_04234	30	126	10_40	TcmJ
FOXX01000014__Bacillus_endophyticus_DSM_13796__SAMN02745910_04234	60	156	20_50	TcmJ
FOXX01000014__Bacillus_endophyticus_DSM_13796__SAMN02745910_04234	90	183	30_60	TcmJ
FOXX01000014__Bacillus_endophyticus_DSM_13796__SAMN02745910_04234	129	213	40_70	TcmJ
FOXX01000014__Bacillus_endophyticus_DSM_13796__SAMN02745910_04234	159	246	50_80	TcmJ
FOXX01000014__Bacillus_endophyticus_DSM_13796__SAMN02745910_04234	189	276	60_90	TcmJ
FOXX01000014__Bacillus_endophyticus_DSM_13796__SAMN02745910_04234	219	306	70_100	TcmJ
FOXX01000014__Bacillus_endophyticus_DSM_13796__SAMN02745910_04234	249	330	80_110	TcmJ
FOXX01000014__Bacillus_endophyticus_DSM_13796__SAMN02745910_04234	279	360	90_120	TcmJ
JJOH01000095.1__S.olindensis_strain_DAUFPE_5622__ctg84_orf00025__AraC_family_transcriptional_regulator	15	102	0_30	TcmJ
JJOH01000095.1__S.olindensis_strain_DAUFPE_5622__ctg84_orf00025__AraC_family_transcriptional_regulator	45	129	10_40	TcmJ
JJOH01000095.1__S.olindensis_strain_DAUFPE_5622__ctg84_orf00025__AraC_family_transcriptional_regulator	75	159	20_50	TcmJ
JJOH01000095.1__S.olindensis_strain_DAUFPE_5622__ctg84_orf00025__AraC_family_transcriptional_regulator	105	189	30_60	TcmJ
JJOH01000095.1__S.olindensis_strain_DAUFPE_5622__ctg84_orf00025__AraC_family_transcriptional_regulator	132	219	40_70	TcmJ
JJOH01000095.1__S.olindensis_strain_DAUFPE_5622__ctg84_orf00025__AraC_family_transcriptional_regulator	162	246	50_80	TcmJ
JJOH01000095.1__S.olindensis_strain_DAUFPE_5622__ctg84_orf00025__AraC_family_transcriptional_regulator	195	276	60_90	TcmJ
JJOH01000095.1__S.olindensis_strain_DAUFPE_5622__ctg84_orf00025__AraC_family_transcriptional_regulator	225	309	70_100	TcmJ
JJOH01000095.1__S.olindensis_strain_DAUFPE_5622__ctg84_orf00025__AraC_family_transcriptional_regulator	249	336	80_110	TcmJ
JJOH01000095.1__S.olindensis_strain_DAUFPE_5622__ctg84_orf00025__AraC_family_transcriptional_regulator	279	366	90_120	TcmJ
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__ADL26_14000	3	69	0_30	TcmJ
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__ADL26_14000	12	96	10_40	TcmJ
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__ADL26_14000	42	126	20_50	TcmJ
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__ADL26_14000	72	156	30_60	TcmJ
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__ADL26_14000	99	186	40_70	TcmJ
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__ADL26_14000	129	216	50_80	TcmJ
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__ADL26_14000	159	246	60_90	TcmJ
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__ADL26_14000	189	279	70_100	TcmJ
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__ADL26_14000	219	306	80_110	TcmJ
LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__ADL26_14000	249	336	90_120	TcmJ
NC_021985.1__S.collinus_Tu365__ctg1_orf06500__TcmJ	18	105	0_30	TcmJ
NC_021985.1__S.collinus_Tu365__ctg1_orf06500__TcmJ	48	132	10_40	TcmJ
NC_021985.1__S.collinus_Tu365__ctg1_orf06500__TcmJ	78	162	20_50	TcmJ
NC_021985.1__S.collinus_Tu365__ctg1_orf06500__TcmJ	108	192	30_60	TcmJ
NC_021985.1__S.collinus_Tu365__ctg1_orf06500__TcmJ	135	222	40_70	TcmJ
NC_021985.1__S.collinus_Tu365__ctg1_orf06500__TcmJ	165	249	50_80	TcmJ
NC_021985.1__S.collinus_Tu365__ctg1_orf06500__TcmJ	198	279	60_90	TcmJ
NC_021985.1__S.collinus_Tu365__ctg1_orf06500__TcmJ	228	312	70_100	TcmJ
NC_021985.1__S.collinus_Tu365__ctg1_orf06500__TcmJ	252	339	80_110	TcmJ
NC_021985.1__S.collinus_Tu365__ctg1_orf06500__TcmJ	282	369	90_120	TcmJ
