readID	Sample	stitle	readCheck	lanc_genome
CP002118.1-42364/1	synthetic_stool_high_S45	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
CP000673.1-661490/1	synthetic_stool_high_S45	lantibiotic biosynthesis protein [Bacillus cereus]	TP	other
CP000673.1-649502/2	synthetic_stool_high_S45	Lanthionine synthetase C family protein,Nisin biosynthesis protein nisC,Lantibiotic modifying enzyme,type 2 lantibiotic biosynthesis protein LanM,Lanthionine synthetase C-like protein (plasmid) [[Clostridium] sordellii]	TP	other
CP000673.1-604772/1	synthetic_stool_high_S45	lantibiotic biosynthesis protein [Bacillus thuringiensis]	TP	other
CP000673.1-494000/2	synthetic_stool_high_S45	lantibiotic biosynthesis protein [Bacillus thuringiensis]	TP	other
CP000673.1-464190/1	synthetic_stool_high_S45	lantibiotic biosynthesis protein [Bacillus thuringiensis]	TP	other
CP000673.1-448392/1	synthetic_stool_high_S45	Lanthionine synthetase C family protein,Nisin biosynthesis protein nisC,Lantibiotic modifying enzyme,type 2 lantibiotic biosynthesis protein LanM,Lanthionine synthetase C-like protein (plasmid) [[Clostridium] sordellii]	TP	other
CP000673.1-436050/1	synthetic_stool_high_S45	lantibiotic biosynthesis protein [Bacillus thuringiensis]	TP	other
CP000673.1-401150/2	synthetic_stool_high_S45	lantibiotic biosynthesis protein [Bacillus thuringiensis]	TP	other
CP000673.1-204700/2	synthetic_stool_high_S45	lantibiotic biosynthesis protein [Bacillus sp. ok061]	TP	other
CP000673.1-148852/2	synthetic_stool_high_S45	lanthionine synthetase [Streptomyces chattanoogensis]	TP	other
CP000673.1-119054/2	synthetic_stool_high_S45	lantibiotic biosynthesis protein [Bacillus cereus]	TP	other
AZXI01000049.1-2630/1	synthetic_stool_high_S45	lanthionine synthetase [Salinispora arenicola]	TP	other
AZXI01000049.1-2582/1	synthetic_stool_high_S45	lanthionine synthetase [Salinispora arenicola]	TP	other
AZXI01000049.1-2334/2	synthetic_stool_high_S45	lanthionine synthetase [Salinispora arenicola]	TP	other
AZXI01000049.1-1382/1	synthetic_stool_high_S45	lanthionine synthetase [Salinispora arenicola]	TP	other
AZXI01000049.1-1082/1	synthetic_stool_high_S45	lanthionine synthetase [Salinispora arenicola]	TP	other
AZXI01000049.1-752/2	synthetic_stool_high_S45	lanthionine synthetase [Salinispora arenicola]	TP	other
AZXI01000049.1-570/1	synthetic_stool_high_S45	lanthionine synthetase [Salinispora arenicola]	TP	other
CP002118.1-44818/2	synthetic_stool_low_S47	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
AE001437.1-1036296/1	synthetic_stool_low_S47	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
AE001437.1-981480/2	synthetic_stool_low_S47	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
AE001437.1-810558/1	synthetic_stool_low_S47	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
HE613569.1-4139330/1	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM, partial [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-4126152/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM, partial [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-4108458/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM, partial [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-4082304/2	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-4057102/2	synthetic_stool_low_S47	lantibiotic modifying enzyme [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-4044170/1	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-4032912/1	synthetic_stool_low_S47	lantibiotic modifying enzyme [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-4030250/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-3978946/2	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-3966668/1	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-3894514/1	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-3886682/1	synthetic_stool_low_S47	lantibiotic modifying enzyme [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-3882394/2	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-3873064/1	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-3868866/1	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-3858032/1	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-3839600/2	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-3810326/1	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-3677914/2	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-3642448/1	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-3563340/2	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-3535146/2	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-3448114/2	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-3438136/2	synthetic_stool_low_S47	lantibiotic modifying enzyme [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-3388160/1	synthetic_stool_low_S47	lantibiotic modifying enzyme [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-3367600/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM, partial [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-3328918/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-3259340/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-3206972/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM, partial [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-3062018/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM, partial [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-3023670/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-3019048/1	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-2748272/1	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM, partial [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-2640536/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-2503920/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM, partial [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-2496802/1	synthetic_stool_low_S47	lantibiotic modifying enzyme [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-2466172/2	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-2295576/1	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-1962044/2	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-1923202/2	synthetic_stool_low_S47	lantibiotic modifying enzyme [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-1344264/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-1088196/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-1039882/1	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-1030856/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-646680/1	synthetic_stool_low_S47	lantibiotic modifying enzyme [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-578044/1	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM, partial [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-530028/2	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-386178/1	synthetic_stool_low_S47	MULTISPECIES: type 2 lantipeptide synthetase LanM [Anoxybacillus]	TP	lantibiotic_genome
HE613569.1-222752/2	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
HE613569.1-150280/2	synthetic_stool_low_S47	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
FR824043.1-144896/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-139714/1	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-120940/1	synthetic_stool_low_S47	putative Lantibiotic modifying enzyme Lacticin 481/lactococcin biosynthesis protein lcnDR2 [Lactococcus piscium]	TP	other
FR824043.1-119434/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-89350/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-84272/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-75860/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-69428/1	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-10168/2	synthetic_stool_low_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
gi|640933032|gb|JJOH01000019.1|-70/1	synthetic_stool_low_S47	lantipeptide synthetase [Streptomyces sp. 46]	TP	lantibiotic_genome
gi|529222834|ref|NC_021985.1|-146954/1	synthetic_stool_low_S47	lanthionine synthetase C family protein [Streptomyces collinus]	TP	lantibiotic_genome
gi|529222834|ref|NC_021985.1|-29574/2	synthetic_stool_low_S47	lanthionine synthetase C family protein [Streptomyces collinus]	TP	lantibiotic_genome
CP010413.1-7218740/1	synthetic_stool_high_S47	lanthionine synthetase [Bifidobacterium breve]	TP	other
CP010413.1-6910898/1	synthetic_stool_high_S47	MULTISPECIES: lanthionine synthetase [Bifidobacterium]	TP	other
CP010413.1-6406482/1	synthetic_stool_high_S47	lanthionine synthetase [Bifidobacterium breve]	TP	other
CP010413.1-5641604/1	synthetic_stool_high_S47	lanthionine synthetase [Bifidobacterium breve]	TP	other
CP010413.1-4101956/2	synthetic_stool_high_S47	lanthionine synthetase [Bifidobacterium breve]	TP	other
CP010413.1-2960514/1	synthetic_stool_high_S47	MULTISPECIES: lanthionine synthetase [Bifidobacterium]	TP	other
CP010413.1-300656/2	synthetic_stool_high_S47	MULTISPECIES: lanthionine synthetase [Bifidobacterium]	TP	other
FR687360.1-14354/1	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Paraburkholderia rhizoxinica]	TP	other
FR687360.1-7556/2	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Paraburkholderia rhizoxinica]	TP	other
CP000673.1-362398/1	synthetic_stool_high_S47	lantibiotic biosynthesis protein [Bacillus cereus]	TP	other
CP000673.1-339762/2	synthetic_stool_high_S47	lantibiotic biosynthesis protein [Bacillus cereus]	TP	other
CP000673.1-190406/1	synthetic_stool_high_S47	Lanthionine synthetase C family protein,Nisin biosynthesis protein nisC,Lantibiotic modifying enzyme,type 2 lantibiotic biosynthesis protein LanM,Lanthionine synthetase C-like protein (plasmid) [[Clostridium] sordellii]	TP	other
CP000673.1-188864/2	synthetic_stool_high_S47	lantibiotic biosynthesis protein [Bacillus thuringiensis]	TP	other
CP000673.1-157982/1	synthetic_stool_high_S47	lantibiotic biosynthesis protein [Bacillus cereus]	TP	other
CP000673.1-13144/1	synthetic_stool_high_S47	lanthionine synthetase C-like protein [Actinobaculum sp. oral taxon 183]	TP	other
FR824043.1-654898/2	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-652954/2	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-638790/1	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-626460/2	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-625670/1	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-623370/1	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-623370/2	synthetic_stool_high_S47	putative Lantibiotic modifying enzyme Lacticin 481/lactococcin biosynthesis protein lcnDR2 [Lactococcus piscium]	TP	other
FR824043.1-620200/1	synthetic_stool_high_S47	putative Lantibiotic modifying enzyme Lacticin 481/lactococcin biosynthesis protein lcnDR2 [Lactococcus piscium]	TP	other
FR824043.1-605492/1	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-603032/2	synthetic_stool_high_S47	putative Lantibiotic modifying enzyme Lacticin 481/lactococcin biosynthesis protein lcnDR2 [Lactococcus piscium]	TP	other
FR824043.1-589826/1	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-574032/2	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-499438/1	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-479432/1	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-456462/1	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-383350/2	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-305368/2	synthetic_stool_high_S47	putative Lantibiotic modifying enzyme Lacticin 481/lactococcin biosynthesis protein lcnDR2 [Lactococcus piscium]	TP	other
FR824043.1-283940/2	synthetic_stool_high_S47	putative Lantibiotic modifying enzyme Lacticin 481/lactococcin biosynthesis protein lcnDR2 [Lactococcus piscium]	TP	other
FR824043.1-266668/2	synthetic_stool_high_S47	putative Lantibiotic modifying enzyme Lacticin 481/lactococcin biosynthesis protein lcnDR2 [Lactococcus piscium]	TP	other
FR824043.1-140758/1	synthetic_stool_high_S47	putative Lantibiotic modifying enzyme Lacticin 481/lactococcin biosynthesis protein lcnDR2 [Lactococcus piscium]	TP	other
FR824043.1-140180/2	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-116442/1	synthetic_stool_high_S47	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-83868/1	synthetic_stool_high_S47	putative Lantibiotic modifying enzyme Lacticin 481/lactococcin biosynthesis protein lcnDR2 [Lactococcus piscium]	TP	other
CP000673.1-484340/1	synthetic_stool_high_S36	lantibiotic biosynthesis protein [Bacillus cereus]	TP	other
CP000673.1-473812/1	synthetic_stool_high_S36	Lanthionine synthetase C family protein,Nisin biosynthesis protein nisC,Lantibiotic modifying enzyme,type 2 lantibiotic biosynthesis protein LanM,Lanthionine synthetase C-like protein (plasmid) [[Clostridium] sordellii]	TP	other
CP000673.1-419626/1	synthetic_stool_high_S36	lantibiotic biosynthesis protein [Bacillus thuringiensis]	TP	other
CP000673.1-127390/2	synthetic_stool_high_S36	lanthionine synthetase [Brevibacillus laterosporus]	TP	other
FR824043.1-511868/2	synthetic_stool_high_S36	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-447422/2	synthetic_stool_high_S36	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-429382/2	synthetic_stool_high_S36	putative Lantibiotic modifying enzyme Lacticin 481/lactococcin biosynthesis protein lcnDR2 [Lactococcus piscium]	TP	other
FR824043.1-382702/2	synthetic_stool_high_S36	putative Lantibiotic modifying enzyme Lacticin 481/lactococcin biosynthesis protein lcnDR2 [Lactococcus piscium]	TP	other
FR824043.1-373336/1	synthetic_stool_high_S36	putative Lantibiotic modifying enzyme Lacticin 481/lactococcin biosynthesis protein lcnDR2 [Lactococcus piscium]	TP	other
FR824043.1-351994/2	synthetic_stool_high_S36	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-302214/2	synthetic_stool_high_S36	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-273000/1	synthetic_stool_high_S36	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
CP003157.1-2372724/1	synthetic_stool_high_S36	type 2 lantibiotic biosynthesis protein LanM, lanM [Lactococcus lactis subsp. cremoris]	TP	other
HE613569.1-536668/1	synthetic_stool_high_S36	type 2 lantipeptide synthetase LanM [Pseudonocardia spinosispora]	TP	lantibiotic_genome
HE613569.1-361562/1	synthetic_stool_high_S36	type 2 lantipeptide synthetase LanM [Staphylococcus epidermidis]	TP	lantibiotic_genome
HE613569.1-350242/2	synthetic_stool_high_S36	type 2 lantipeptide synthetase LanM, partial [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-321552/1	synthetic_stool_high_S36	type 2 lantipeptide synthetase LanM [Bacillus cereus]	TP	lantibiotic_genome
HE613569.1-266662/2	synthetic_stool_high_S36	lantibiotic modifying enzyme, partial [Streptococcus suis]	TP	lantibiotic_genome
AZXI01000049.1-272/1	synthetic_stool_high_S36	lanthionine synthetase [Salinispora arenicola]	TP	other
AE001437.1-181528/2	synthetic_stool_low_S54	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
AE001437.1-580882/2	synthetic_stool_low_S46	lanthionine synthetase C-like protein [Clostridium roseum]	TP	other
FR687360.1-134652/1	synthetic_stool_low_S50	type 2 lantipeptide synthetase LanM [Paraburkholderia rhizoxinica]	TP	other
FR687360.1-134224/1	synthetic_stool_low_S50	type 2 lantipeptide synthetase LanM [Paraburkholderia rhizoxinica]	TP	other
FR687360.1-128084/1	synthetic_stool_low_S50	type 2 lantipeptide synthetase LanM [Paraburkholderia rhizoxinica]	TP	other
FR687360.1-88936/1	synthetic_stool_low_S50	type 2 lantipeptide synthetase LanM [Paraburkholderia rhizoxinica]	TP	other
FR687360.1-66214/2	synthetic_stool_low_S50	type 2 lantipeptide synthetase LanM [Paraburkholderia rhizoxinica]	TP	other
FR687360.1-47382/1	synthetic_stool_low_S50	type 2 lantipeptide synthetase LanM [Paraburkholderia rhizoxinica]	TP	other
FR687360.1-33662/2	synthetic_stool_low_S50	type 2 lantipeptide synthetase LanM [Paraburkholderia rhizoxinica]	TP	other
CP004121.1-2595450/2	synthetic_stool_low_S50	lanthionine synthetase C-like protein [Clostridium saccharoperbutylacetonicum]	TP	other
CP004121.1-1561594/1	synthetic_stool_low_S50	lanthionine synthetase C-like protein [Clostridium saccharoperbutylacetonicum]	TP	other
CP004121.1-637294/2	synthetic_stool_low_S50	lanthionine synthetase C-like protein [Clostridium saccharoperbutylacetonicum]	TP	other
AP009049.1-26178/2	synthetic_stool_low_S23	lantibiotic biosynthesis protein [Bacillus thuringiensis]	TP	other
CP000673.1-7037296/2	synthetic_stool_low_S23	lantibiotic biosynthesis protein [Bacillus cereus]	TP	other
CP000673.1-6810296/2	synthetic_stool_low_S23	lantibiotic biosynthesis protein [Bacillus sp. ok061]	TP	other
CP000673.1-6526752/2	synthetic_stool_low_S23	lantibiotic biosynthesis protein [Bacillus cereus]	TP	other
CP000673.1-6499920/1	synthetic_stool_low_S23	lantibiotic biosynthesis protein [Bacillus cereus]	TP	other
CP000673.1-6266004/2	synthetic_stool_low_S23	lantibiotic biosynthesis protein [Bacillus thuringiensis]	TP	other
CP000673.1-6191198/1	synthetic_stool_low_S23	lantibiotic biosynthesis protein [Bacillus thuringiensis]	TP	other
CP000673.1-6169044/2	synthetic_stool_low_S23	Lanthionine synthetase C family protein,Nisin biosynthesis protein nisC,Lantibiotic modifying enzyme,type 2 lantibiotic biosynthesis protein LanM,Lanthionine synthetase C-like protein (plasmid) [[Clostridium] sordellii]	TP	other
CP000673.1-6134514/2	synthetic_stool_low_S23	lantibiotic biosynthesis protein [Bacillus thuringiensis]	TP	other
CP000673.1-5954094/2	synthetic_stool_low_S23	Lanthionine synthetase C family protein,Nisin biosynthesis protein nisC,Lantibiotic modifying enzyme,type 2 lantibiotic biosynthesis protein LanM,Lanthionine synthetase C-like protein (plasmid) [[Clostridium] sordellii]	TP	other
CP000673.1-5477590/2	synthetic_stool_low_S23	lantibiotic biosynthesis protein [Bacillus thuringiensis]	TP	other
CP000673.1-5259876/2	synthetic_stool_low_S23	Lanthionine synthetase C family protein,Nisin biosynthesis protein nisC,Lantibiotic modifying enzyme,type 2 lantibiotic biosynthesis protein LanM,Lanthionine synthetase C-like protein (plasmid) [[Clostridium] sordellii]	TP	other
CP000673.1-4173588/2	synthetic_stool_low_S23	lantibiotic biosynthesis protein [Bacillus thuringiensis]	TP	other
CP000673.1-4108316/1	synthetic_stool_low_S23	lantibiotic biosynthesis protein [Bacillus thuringiensis]	TP	other
CP000673.1-4092640/2	synthetic_stool_low_S23	lantibiotic biosynthesis protein [Bacillus cereus]	TP	other
CP000673.1-4083904/2	synthetic_stool_low_S23	Lanthionine synthetase C family protein,Nisin biosynthesis protein nisC,Lantibiotic modifying enzyme,type 2 lantibiotic biosynthesis protein LanM,Lanthionine synthetase C-like protein (plasmid) [[Clostridium] sordellii]	TP	other
CP000673.1-3680018/2	synthetic_stool_low_S23	lanthionine synthetase [Brevibacillus laterosporus]	TP	other
CP000673.1-3182210/1	synthetic_stool_low_S23	Lanthionine synthetase C family protein,Nisin biosynthesis protein nisC,Lantibiotic modifying enzyme,type 2 lantibiotic biosynthesis protein LanM,Lanthionine synthetase C-like protein (plasmid) [[Clostridium] sordellii]	TP	other
CP000673.1-3014644/1	synthetic_stool_low_S23	lanthionine synthetase C-like protein [Actinobaculum sp. oral taxon 183]	TP	other
CP000673.1-2502616/2	synthetic_stool_low_S23	Lanthionine synthetase C family protein,Nisin biosynthesis protein nisC,Lantibiotic modifying enzyme,type 2 lantibiotic biosynthesis protein LanM,Lanthionine synthetase C-like protein (plasmid) [[Clostridium] sordellii]	TP	other
CP000673.1-2210290/2	synthetic_stool_low_S23	Lanthionine synthetase C family protein,Nisin biosynthesis protein nisC,Lantibiotic modifying enzyme,type 2 lantibiotic biosynthesis protein LanM,Lanthionine synthetase C-like protein (plasmid) [[Clostridium] sordellii]	TP	other
CP000673.1-489784/2	synthetic_stool_low_S23	lantibiotic modifying enzyme [Paenibacillus alvei]	TP	other
CP000673.1-134096/2	synthetic_stool_low_S23	lantibiotic biosynthesis protein [Bacillus thuringiensis]	TP	other
CP002660.1-73944/1	synthetic_stool_low_S65	lanthionine synthetase C-like protein [Clostridium roseum]	TP	other
AE001437.1-980944/2	synthetic_stool_low_S65	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
AE001437.1-936196/2	synthetic_stool_low_S65	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
AE001437.1-398004/1	synthetic_stool_low_S65	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
CP015196.1-4771818/1	synthetic_stool_low_S65	MULTISPECIES: lanthionine synthetase C family protein [Streptomyces]	TP	other
