id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
synthetic_stool_low_S49__CP000939.1-44969480/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-43601194/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-42354384/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S49__CP000939.1-42269026/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-40985292/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S49__CP000939.1-39497100/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S49__CP000939.1-38361284/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S49__CP000939.1-38093436/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-32373976/2	2	582	100	0	98.00%	100%
synthetic_stool_low_S49__CP000939.1-31757854/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-31512474/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S49__CP000939.1-30756126/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S49__CP000939.1-29347848/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S49__CP000939.1-29069020/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S49__CP000939.1-27968698/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-27610408/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-26234978/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-25128744/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S49__CP000939.1-22663244/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-21792718/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S49__CP000939.1-21753374/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-20412966/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-18037114/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-17084564/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S49__CP000939.1-16109070/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-15977954/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S49__CP000939.1-14878032/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-14725600/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-14280432/2	2	582	100	0	98.00%	100%
synthetic_stool_low_S49__CP000939.1-13651174/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-13236750/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-12786924/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-10479476/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-9538122/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S49__CP000939.1-7035172/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S49__CP000939.1-6357410/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-5750414/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP000939.1-5263064/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S49__CP002011.1-81360/1	2	582	100	0	98.00%	100%
synthetic_stool_high_S35__CP014148.1-248036/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S39__AM412317.1-275182/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S2__CP006908.1-220252/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S2__CP000728.1-3132634/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S2__CP000728.1-2794728/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S2__CP000728.1-2319896/2	2	582	100	0	97.00%	100%
synthetic_stool_high_S57__CP000939.1-643952/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S57__CP000939.1-573328/2	2	582	100	0	98.00%	100%
synthetic_stool_high_S57__CP002011.1-162490/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S57__CP002011.1-118646/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S57__CP006908.1-963044/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S38__CP002011.1-806936/2	2	582	100	0	98.00%	100%
synthetic_stool_high_S38__CP000728.1-7509530/1	2	582	100	0	98.00%	100%
synthetic_stool_high_S38__CP000728.1-7395504/1	2	582	100	0	99.00%	100%
synthetic_stool_high_S38__CP000728.1-6435120/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S38__CP000728.1-6366158/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S38__CP000728.1-5470872/1	2	582	100	0	98.00%	100%
synthetic_stool_high_S38__CP000728.1-3999250/2	2	582	100	0	97.00%	100%
synthetic_stool_high_S38__CP000728.1-3323924/2	2	582	100	0	97.00%	100%
synthetic_stool_high_S38__CP000728.1-1997932/2	2	582	100	0	97.00%	100%
synthetic_stool_high_S38__CP000728.1-1655202/2	2	582	100	0	98.00%	100%
synthetic_stool_high_S38__CP000728.1-939428/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S44__CP000939.1-4408974/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S44__CP000939.1-4194626/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S44__CP000939.1-3536444/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S44__CP000939.1-3477450/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S44__CP000939.1-2949816/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S44__CP000939.1-2620692/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S44__CP000939.1-1640246/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S44__CP000939.1-1334968/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S54__CP002011.1-4602688/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S54__CP002011.1-4399306/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S54__CP002011.1-4000932/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S54__CP002011.1-2356340/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S54__CP002011.1-2021380/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S54__CP002011.1-1851398/2	2	582	100	0	98.00%	100%
synthetic_stool_low_S54__CP002011.1-1832138/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S54__CP000939.1-11003088/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S54__CP000939.1-6498624/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S54__CP000939.1-6105066/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S54__CP000939.1-5471604/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S54__CP000939.1-4382106/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S54__CP000939.1-2791034/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S54__CP000939.1-2054834/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S54__CP000728.1-22129276/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S54__CP000728.1-22014408/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S54__CP000728.1-19906522/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S54__CP000728.1-17423946/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S54__CP000728.1-17179958/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S54__CP000728.1-16796832/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S54__CP000728.1-16352222/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S54__CP000728.1-15901606/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S54__CP000728.1-15853452/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S54__CP000728.1-15507928/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S54__CP000728.1-14033646/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S54__CP000728.1-13441078/2	2	582	100	0	98.00%	100%
synthetic_stool_low_S54__CP000728.1-13194924/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S54__CP000728.1-12980006/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S54__CP000728.1-12639380/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S54__CP000728.1-12228756/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S54__CP000728.1-11998792/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S54__CP000728.1-11860084/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S54__CP000728.1-11019976/2	2	582	100	0	98.00%	100%
synthetic_stool_low_S54__CP000728.1-9263894/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S54__CP000728.1-8984380/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S54__CP000728.1-6273106/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S54__CP000728.1-4112686/1	2	582	100	0	99.00%	100%
synthetic_stool_low_S54__CP000728.1-4045190/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S54__CP000728.1-3306178/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S54__CP000728.1-2988566/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S54__CP000728.1-1530942/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S54__CP000728.1-1252422/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S54__CP000728.1-1075424/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S54__CP000728.1-575870/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S4__CP006908.1-28112/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S53__CP002011.1-2759896/1	2	582	100	0	99.00%	100%
synthetic_stool_low_S53__CP002011.1-1496928/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S53__CP014148.1-5796216/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S53__CP014148.1-2708396/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S53__CP014148.1-1980198/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S51__CP002011.1-563136/2	2	582	100	0	97.00%	100%
synthetic_stool_high_S44__AM412317.1-1004846/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S44__CP014148.1-976398/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S44__CP014148.1-256836/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S33__CP014148.1-2098422/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S33__CP014148.1-1636274/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S59__CP014148.1-467240/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S59__CP000939.1-778276/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S61__CP000939.1-9551044/2	2	582	100	0	98.00%	100%
synthetic_stool_high_S61__CP000939.1-7439398/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S61__CP000939.1-7427596/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S61__CP000939.1-7081286/2	2	582	100	0	97.00%	100%
synthetic_stool_high_S61__CP000939.1-4816012/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S61__CP000939.1-4664646/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S61__CP000939.1-4116760/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S61__CP000939.1-2714430/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S1__CP000939.1-2374024/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S9__CP000728.1-956140/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S9__CP000728.1-679384/1	2	582	100	0	98.00%	100%
synthetic_stool_high_S9__CP000728.1-252720/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S9__CP000728.1-9100/2	2	582	100	0	98.00%	100%
synthetic_stool_high_S52__CP006908.1-230758/2	2	582	100	0	97.00%	100%
synthetic_stool_high_S52__AM412317.1-26852/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S40__CP000728.1-239444/1	2	582	100	0	99.00%	100%
synthetic_stool_high_S40__CP006908.1-4174976/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S40__CP006908.1-844996/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S55__AM412317.1-1004106/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S43__CP002011.1-2284/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S34__CP006908.1-21838606/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S34__CP006908.1-21483304/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S34__CP006908.1-20953406/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S34__CP006908.1-18074318/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S34__CP006908.1-14601240/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S34__CP006908.1-14531670/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S34__CP006908.1-11746464/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S34__CP006908.1-10233676/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S34__CP006908.1-7772088/2	2	582	100	0	98.00%	100%
synthetic_stool_low_S34__CP006908.1-7141594/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S34__CP006908.1-2757338/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S34__CP006908.1-1621362/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S34__CP006908.1-1340778/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S34__CP006908.1-918306/2	2	582	100	0	97.00%	100%
synthetic_stool_high_S54__CP002011.1-590784/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-41139908/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S9__CP002011.1-41014354/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP002011.1-40207994/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-39229368/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP002011.1-39043262/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-37613212/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S9__CP002011.1-36214692/2	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP002011.1-35212620/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-35005958/2	2	582	100	0	99.00%	100%
synthetic_stool_low_S9__CP002011.1-34989884/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S9__CP002011.1-34592622/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-33649430/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-33515838/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-33418726/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S9__CP002011.1-31644140/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S9__CP002011.1-31641372/2	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP002011.1-31283800/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S9__CP002011.1-30298828/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-29163132/2	2	582	100	0	99.00%	100%
synthetic_stool_low_S9__CP002011.1-28585018/2	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP002011.1-28362276/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S9__CP002011.1-26758144/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S9__CP002011.1-25368082/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S9__CP002011.1-24784746/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-24756266/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP002011.1-23988356/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP002011.1-21948174/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-19188110/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP002011.1-18446308/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-18109032/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S9__CP002011.1-17626050/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-17384930/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-17184836/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-16088366/2	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP002011.1-14809404/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S9__CP002011.1-14761786/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-14265668/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP002011.1-11573696/2	2	582	100	0	99.00%	100%
synthetic_stool_low_S9__CP002011.1-10792220/2	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP002011.1-10268812/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S9__CP002011.1-10265066/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-10185274/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S9__CP002011.1-9875612/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S9__CP002011.1-9819680/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP002011.1-9795770/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-9770458/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-9088012/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S9__CP002011.1-6577432/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP002011.1-6414014/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-5471168/1	2	582	100	0	99.00%	100%
synthetic_stool_low_S9__CP002011.1-4720808/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP002011.1-4230344/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S9__CP002011.1-2908086/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S9__CP002011.1-1195202/2	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP002011.1-653198/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP002011.1-347214/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S9__CP000728.1-1608240/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S19__CP000728.1-591914/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S19__CP000728.1-407674/2	2	582	100	0	97.00%	100%
synthetic_stool_high_S49__CP014148.1-11126804/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S49__CP014148.1-11103252/2	2	582	100	0	97.00%	100%
synthetic_stool_high_S49__CP014148.1-10936130/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S49__CP014148.1-9930414/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S49__CP014148.1-8489094/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S49__CP014148.1-7707536/1	2	582	100	0	96.00%	100%
